score,smiles,Name,SA_Score
0.87888,CN1CCNC[C@@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_89223304,3.768446040683237
0.871990782,CN1CCN[C@H](c2nc3c(F)c(Cl)ccc3c(=O)n2[C@]2(C(=O)O)C[C@@H](O)C2)C1,20475958_585669989_23094286,3.806065676310766
0.870347905,CN1CCN[C@@H](c2nc3c(F)c(Cl)ccc3c(=O)n2[C@]2(C(=O)O)C[C@@H](O)C2)C1,20475958_585669989_23094284,3.806065676310766
0.865565866,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3c(F)c(Cl)ccc3c2=O)[nH][nH]c1=O,20475958_19737344_259505376,4.430138563359943
0.859518921,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3c(F)cc(Cl)cc3c2=O)[nH][nH]c1=O,20475945_19737344_259505376,4.4142379864368655
0.85862695,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3c(Cl)c(F)ccc3c2=O)[nH][nH]c1=O,139922064_19737344_259505376,4.44529664028302
0.858172154,N[C@H]1[C@@H](O)C[C@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1-c1[nH][nH]c(=O)c1C(=O)O,20475958_19737344_145242372,4.3156329172706105
0.853076738,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cc(Cl)cnc3c2=O)[nH][nH]c1=O,67173009_19737344_259505376,4.475143272300197
0.851456448,CN1CCN[C@@H](c2nc3c(F)c(Cl)ccc3c(=O)n2-c2[nH][nH]c(=O)c2C(=O)O)C1,20475958_19737344_23094284,3.835768184748276
0.849567693,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cc(F)cnc3c2=O)[nH][nH]c1=O,71790064_19737344_259505376,4.5050545149037475
0.849268728,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3c(Cl)nccc3c2=O)[nH][nH]c1=O,71255890_19737344_259505376,4.494503035613805
0.84861697,CN1CCN[C@H](c2nc3c(F)c(Cl)ccc3c(=O)n2-c2[nH][nH]c(=O)c2C(=O)O)C1,20475958_19737344_23094286,3.835768184748276
